Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Arizona,Big 12,"22-0",1.000,,1,9.27,3,54.81,2,106.51,22,25.77,2.82,12,41.37,10,43.67,6.27,2.73
Duke,Atlantic Coast,"20-1",0.952,,2,9.13,1,56.31,13,102.81,2,30.97,2.59,16,40.98,28,41.80,8.44,1.56
Michigan,Big 10,"20-1",0.952,+3,3,9.01,5,53.22,5,104.16,19,26.53,2.80,7,42.47,3,44.39,6.55,3.45
Gonzaga,West Coast,"22-1",0.957,+1,4,8.95,4,53.82,3,104.86,20,26.43,2.75,53,38.42,75,38.11,7.14,0.86
Connecticut,Big East,"21-1",0.955,+2,5,8.93,13,51.60,49,98.83,3,30.24,2.63,20,40.76,39,41.39,6.83,2.17
Houston,Big 12,"19-2",0.905,-3,6,8.89,2,54.90,48,98.87,1,33.50,2.88,35,39.50,30,41.77,7.62,2.38
Iowa St,Big 12,"19-2",0.905,+2,7,8.78,9,52.53,23,101.58,8,28.42,2.81,38,39.34,27,42.11,6.70,3.30
Nebraska,Big 10,"20-1",0.952,,8,8.73,23,48.17,44,99.01,18,26.64,2.79,28,39.99,33,41.60,6.07,3.93
Illinois,Big 10,"18-3",0.857,+2,9,8.72,11,52.16,7,103.98,23,25.65,2.80,11,41.60,12,43.22,6.80,3.20
Purdue,Big 10,"17-4",0.810,-6,10,8.67,7,52.80,17,102.00,10,28.27,2.83,6,42.47,8,43.83,6.99,3.01
Michigan St,Big 10,"19-3",0.864,-1,11,8.66,14,51.38,50,98.74,4,30.11,2.83,22,40.49,15,42.60,5.66,3.34
Alabama,Southeastern,"14-6",0.700,+1,12,8.52,8,52.70,1,110.41,127,19.76,2.93,1,44.43,1,45.63,8.65,4.35
Tennessee,Southeastern,"15-6",0.714,+5,13,8.51,10,52.23,33,99.68,5,30.03,2.97,4,42.70,11,43.32,8.11,2.89
Texas Tech,Big 12,"16-5",0.762,+2,14,8.50,16,50.21,16,102.32,27,25.37,2.86,3,42.74,7,43.84,6.31,3.69
Vanderbilt,Southeastern,"19-3",0.864,,15,8.50,25,47.81,15,102.42,58,22.87,2.71,25,40.28,17,42.55,4.52,4.48
Florida,Southeastern,"15-6",0.714,-2,16,8.50,6,52.99,4,104.65,21,25.82,2.82,8,42.36,5,44.01,7.58,3.42
Kansas,Big 12,"16-5",0.762,,17,8.50,15,50.64,29,100.49,12,27.62,2.95,5,42.54,4,44.22,5.94,4.06
BYU,Big 12,"17-4",0.810,-6,18,8.46,19,49.29,9,103.45,47,23.31,2.84,23,40.47,14,42.77,5.68,4.32
Auburn,Southeastern,"14-8",0.636,+4,19,8.42,12,51.77,6,104.14,30,25.10,2.86,2,44.21,2,44.99,5.91,3.09
