Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Arizona,Big 12,"21-0",1.000,,1,9.27,2,54.78,2,106.48,22,25.76,2.83,12,41.30,10,43.65,7.11,2.89
Duke,Atlantic Coast,"19-1",0.950,,2,9.13,1,56.26,12,103.08,2,30.64,2.60,14,40.93,28,41.83,9.30,1.70
Michigan,Big 10,"20-1",0.952,+3,3,9.02,5,53.24,6,104.18,19,26.53,2.80,4,42.50,3,44.43,6.54,3.46
Gonzaga,West Coast,"21-1",0.955,+1,4,8.94,4,53.87,3,105.06,20,26.27,2.76,55,38.24,76,38.10,7.99,1.01
Connecticut,Big East,"20-1",0.952,+2,5,8.90,14,51.13,49,98.60,4,29.99,2.64,22,40.40,38,41.45,7.30,2.70
Houston,Big 12,"18-2",0.900,-3,6,8.89,3,54.74,48,98.76,1,33.45,2.88,30,39.72,29,41.79,8.53,2.47
Iowa St,Big 12,"19-2",0.905,+2,7,8.79,9,52.51,23,101.58,7,28.39,2.81,36,39.31,27,42.10,6.69,3.31
Nebraska,Big 10,"20-1",0.952,,8,8.74,23,48.19,43,99.07,18,26.58,2.79,26,40.04,33,41.65,6.06,3.94
Illinois,Big 10,"18-3",0.857,+2,9,8.73,10,52.16,8,103.99,24,25.63,2.81,11,41.58,12,43.22,6.80,3.20
Purdue,Big 10,"17-4",0.810,-6,10,8.68,7,52.81,17,102.03,10,28.24,2.84,5,42.49,7,43.86,6.98,3.02
Michigan St,Big 10,"19-3",0.864,-1,11,8.67,13,51.39,47,98.76,3,30.09,2.83,21,40.47,15,42.58,5.67,3.33
Texas Tech,Big 12,"16-4",0.800,+4,12,8.59,15,50.48,15,102.30,23,25.65,2.86,3,42.55,8,43.85,7.02,3.98
Alabama,Southeastern,"14-6",0.700,,13,8.53,8,52.71,1,110.39,124,19.78,2.93,1,44.43,1,45.63,8.65,4.35
BYU,Big 12,"17-3",0.850,-2,14,8.53,17,49.43,11,103.20,41,23.69,2.83,31,39.71,14,42.77,6.09,4.91
